image_name,area,centroid_x,centroid_y,eta20,eta02,eta11,eta30,eta03,eta21,eta12,h1,h2,h3,h4,h5,h6,h7,flusser_i8,h1_opencv,h2_opencv,h3_opencv,h4_opencv,h5_opencv,h6_opencv,h7_opencv
square,1.468800e+05,3.150000e+01,3.150000e+01,3.262300e-04,3.262300e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.524601e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.524601e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
horizontal_rect,9.792000e+04,3.150000e+01,3.150000e+01,8.706087e-04,1.216980e-04,1.554094e-18,-1.589248e-19,-1.589248e-19,-1.489920e-19,-1.539584e-19,9.923066e-04,5.608672e-07,1.747524e-37,1.927086e-37,3.532134e-74,2.308996e-42,1.739363e-75,-7.215152e-41,9.923066e-04,5.608672e-07,1.747524e-37,1.927086e-37,3.532134e-74,2.308996e-42,1.739363e-75
vertical_rect,9.792000e+04,3.150000e+01,3.150000e+01,1.216980e-04,8.706087e-04,1.554094e-18,-1.589248e-19,-1.589248e-19,-1.539584e-19,-1.489920e-19,9.923066e-04,5.608672e-07,1.747524e-37,1.927086e-37,3.532134e-74,2.308996e-42,-1.739363e-75,7.215152e-41,9.923066e-04,5.608672e-07,1.747524e-37,1.927086e-37,3.532134e-74,2.308996e-42,-1.739363e-75
diagonal_rect,9.784300e+04,3.134402e+01,3.201632e+01,4.975856e-04,4.975760e-04,-3.741849e-04,-1.672936e-09,2.237261e-10,-2.400589e-10,7.581208e-10,9.951616e-04,5.600573e-07,1.647211e-17,8.371530e-19,3.057847e-36,-2.235555e-23,5.601110e-37,-3.130505e-22,9.951616e-04,5.600573e-07,1.647211e-17,8.371530e-19,3.057847e-36,-2.235555e-23,5.601110e-37
circle,1.124550e+05,3.200000e+01,3.200000e+01,3.120623e-04,3.120623e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.241247e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.241247e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
horizontal_ellipse,1.277550e+05,3.200000e+01,3.200000e+01,6.727260e-04,1.446131e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.173391e-04,2.789032e-07,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.173391e-04,2.789032e-07,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
vertical_ellipse,1.277550e+05,3.200000e+01,3.200000e+01,1.446131e-04,6.727260e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.173391e-04,2.789032e-07,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.173391e-04,2.789032e-07,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
diagonal_ellipse,1.147500e+05,3.199556e+01,3.202000e+01,3.854174e-04,3.839229e-04,2.243339e-04,1.471294e-08,-2.632578e-08,-1.481074e-08,-3.071392e-08,7.693403e-04,2.013050e-07,1.174577e-14,1.948245e-15,7.553866e-30,5.885022e-19,-5.458719e-30,-3.231680e-19,7.693403e-04,2.013050e-07,1.174577e-14,1.948245e-15,7.553866e-30,5.885022e-19,-5.458719e-30
l_shape,1.254600e+05,2.901220e+01,3.148780e+01,3.325960e-04,5.416640e-04,1.683086e-04,3.337816e-06,-5.713692e-06,2.364286e-06,-1.572328e-06,8.742600e-04,1.570206e-07,2.288876e-10,1.433547e-11,-3.541665e-22,-2.287284e-15,-7.408599e-22,-2.599854e-15,8.742600e-04,1.570206e-07,2.288876e-10,1.433547e-11,-3.541665e-22,-2.287284e-15,-7.408599e-22
l_shape_90deg,1.254600e+05,3.148780e+01,3.498780e+01,5.416640e-04,3.325960e-04,-1.683086e-04,-5.713692e-06,-3.337816e-06,1.572328e-06,2.364286e-06,8.742600e-04,1.570206e-07,2.288876e-10,1.433547e-11,-3.541665e-22,-2.287284e-15,-7.408599e-22,-2.599854e-15,8.742600e-04,1.570206e-07,2.288876e-10,1.433547e-11,-3.541665e-22,-2.287284e-15,-7.408599e-22
